Дата,Авиакомпания,Время вылета,Время прилета,Цена
04.02.2025,"Аэрофлот, Победа, ЮТэйр",20:00,15:35,24897
04.02.2025,"Аэрофлот, Победа, Red Wings",20:00,15:30,25071
04.02.2025,"Аэрофлот, ЮТэйр",20:00,15:45,25666
04.02.2025,S7 Airlines,22:30,11:15,26332
04.02.2025,S7 Airlines,22:30,11:15,26332
04.02.2025,"Аэрофлот, Победа, ЮТэйр",20:00,09:30,26555
04.02.2025,"Аэрофлот, S7 Airlines",20:00,07:20,26640
04.02.2025,"Аэрофлот, S7 Airlines",20:00,07:20,26640
04.02.2025,"Аэрофлот, ЮТэйр",20:00,15:45,27332
04.02.2025,"Аэрофлот, Россия, Red Wings",20:00,15:30,27345
04.02.2025,"Аэрофлот, Победа, ЮТэйр",20:00,15:20,28281
04.02.2025,"ЮТэйр, S7 Airlines",22:20,11:15,28334
04.02.2025,"Аэрофлот, ЮТэйр",20:00,06:45,28460
04.02.2025,"ЮТэйр, S7 Airlines",21:30,11:15,29642
04.02.2025,"ЮТэйр, S7 Airlines",21:30,11:15,29642
04.02.2025,"Аэрофлот, ЮТэйр",20:00,06:45,29728
04.02.2025,"ЮТэйр, S7 Airlines",21:30,11:15,30233
04.02.2025,"ЮТэйр, Red Wings",22:20,15:20,30253
04.02.2025,"Аэрофлот, ЮТэйр",20:00,06:45,30717
04.02.2025,"Аэрофлот, Smartavia, ЮТэйр",20:00,15:20,30989
04.02.2025,"S7 Airlines, ЮТэйр",22:30,15:20,31704
04.02.2025,ЮТэйр,21:30,15:20,31815
04.02.2025,S7 Airlines,22:30,07:20,32992
04.02.2025,"ЮТэйр, Аэрофлот",22:20,15:20,33691
04.02.2025,"ЮТэйр, Победа",22:20,15:45,33977
04.02.2025,"Аэрофлот, S7 Airlines",20:00,11:15,34491
04.02.2025,"Аэрофлот, S7 Airlines",20:00,11:15,34491
04.02.2025,"Аэрофлот, S7 Airlines",20:00,11:15,34491
04.02.2025,"ЮТэйр, S7 Airlines",21:30,07:20,34700
04.02.2025,ЮТэйр,21:30,15:35,34754
04.02.2025,"Nordwind, S7 Airlines",18:55,07:20,34922
04.02.2025,"Nordwind, S7 Airlines",18:55,07:20,34922
04.02.2025,"Nordwind, S7 Airlines",18:55,07:20,34922
04.02.2025,"Аэрофлот, S7 Airlines",20:00,07:20,35463
04.02.2025,"ЮТэйр, Аэрофлот, S7 Airlines",22:20,07:20,35621
04.02.2025,"ЮТэйр, S7 Airlines",21:30,11:15,36016
04.02.2025,"ЮТэйр, S7 Airlines",21:30,07:20,36054
04.02.2025,"ЮТэйр, S7 Airlines",21:30,07:20,36862
04.02.2025,"Аэрофлот, Победа, S7 Airlines",20:00,11:15,37024
04.02.2025,"ЮТэйр, Аэрофлот, S7 Airlines",22:20,07:20,37056
04.02.2025,ЮТэйр,21:30,15:45,37197
04.02.2025,"Аэрофлот, S7 Airlines",20:00,11:15,37377
04.02.2025,"Аэрофлот, Россия, Smartavia, ЮТэйр",20:00,15:20,37468
04.02.2025,"Аэрофлот, ЮВТ Аэро",20:00,10:35,37926
04.02.2025,"ЮТэйр, Аэрофлот",21:30,15:45,37966
04.02.2025,"Аэрофлот, Red Wings",20:00,15:30,37977
04.02.2025,ЮТэйр,21:30,06:45,38777
04.02.2025,S7 Airlines,22:30,07:20,38927
04.02.2025,S7 Airlines,22:30,07:20,38927
04.02.2025,"ЮТэйр, Аэрофлот",22:20,06:45,39698
04.02.2025,"ЮТэйр, Аэрофлот, S7 Airlines",22:20,07:20,39927
04.02.2025,ЮТэйр,21:30,06:45,40131
04.02.2025,S7 Airlines,22:30,07:20,41019
04.02.2025,"ЮТэйр, Аэрофлот",22:20,06:45,41133
04.02.2025,"ЮТэйр, Аэрофлот, S7 Airlines",22:20,07:20,41362
04.02.2025,"ЮТэйр, S7 Airlines",22:20,11:15,41699
04.02.2025,"ЮТэйр, S7 Airlines",22:20,11:15,41699
04.02.2025,"S7 Airlines, ЮТэйр",22:30,15:45,41711
