Дата,Откуда,Куда,Авиакомпания,Время вылета,Время прилета,Минимальная цена
07.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Smartavia, Аэрофлот, Ижавиа, Победа, Россия, Уральские авиалинии, ЮВТ Аэро, ЮТэйр, Ямал",09:10,11:20,9381
08.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Smartavia, Аэрофлот, Нордстар, Победа, Россия, РусЛайн, ЮВТ Аэро, ЮТэйр, Ямал",09:10,11:20,9381
09.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Smartavia, Аэрофлот, Победа, Россия, Уральские авиалинии, ЮТэйр, Ямал",09:10,11:20,14481
10.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Smartavia, Аэрофлот, Нордстар, Победа, Россия, ЮВТ Аэро, ЮТэйр, Ямал",09:10,11:20,14481
11.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Smartavia, Аэрофлот, Нордстар, Победа, Россия, ЮВТ Аэро, ЮТэйр, Ямал",07:20,08:50,12579
12.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Smartavia, Азимут, Аэрофлот, Победа, Россия, Уральские авиалинии, ЮТэйр, Ямал",07:15,15:30,17751
13.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Smartavia, Аэрофлот, ИрАэро, Нордстар, Победа, Россия, ЮТэйр, Ямал",01:35,10:10,19700
14.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Smartavia, Азимут, Аэрофлот, ИрАэро, Победа, Россия, Уральские авиалинии, ЮВТ Аэро, ЮТэйр, Ямал",23:20,13:30,12307
15.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Smartavia, Аэрофлот, ИрАэро, Победа, Россия, РусЛайн, Уральские авиалинии, ЮВТ Аэро, ЮТэйр, Ямал",05:30,12:20,20113
16.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Smartavia, Азимут, Аэрофлот, ИрАэро, Нордстар, Победа, Россия, Уральские авиалинии, ЮТэйр, Ямал",20:05,13:30,17304
17.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Smartavia, Аэрофлот, ИрАэро, Победа, Россия, Уральские авиалинии, ЮВТ Аэро, ЮТэйр, Ямал",07:30,09:10,10347
18.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Алроса, Аэрофлот, Нордстар, Победа, Россия, ЮВТ Аэро, ЮТэйр, Ямал",09:10,11:20,9396
19.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Smartavia, Азимут, Аэрофлот, Победа, Россия, Уральские авиалинии, ЮВТ Аэро, ЮТэйр, Ямал",09:10,11:20,9396
20.02.2025,РЩН,НУР,"Nordwind, Red Wings, S7 Airlines, Smartavia, Аэрофлот, Нордстар, Победа, Россия, ЮТэйр, Ямал",09:10,11:20,9396
